Folder,Extracted Name,Best Match,Score,Reason
行政手続のデジタル完結に向けた取組について,,,0.0,No Match
法人ベース・レジストリと制度的課題について,,,0.0,No Match
自治体等における先行事例ヒアリングの概要,,,0.0,No Match
マイナンバー制度と行政情報システムの改善機会について,,,0.0,No Match
不動産ベース・レジストリにおけるオンラインでの公用請求代替への期待について,,,0.0,No Match
地方公共団体情報システム標準化基本方針の概要,,,0.0,No Match
デジタルライフライン全国総合整備計画(案),,,0.0,No Match
CRSAの実装を見据えた今後の対応方針について,,,0.0,No Match
公的手続等のデジタル化の対応状況等について,,,0.0,No Match
河川・ダム管理における新技術導入について,,,0.0,No Match
デジタルインボイス(Peppol e-invoice)について,,,0.0,No Match
デジタル庁第2回トラストを確保したDX推進SWGプレゼン資料,トラストを確保したDX推進SWGプレゼン資料,トラストを確保したDX推進SWG,0.9,Similarity
法制事務のデジタル化に向けた工程表(案)について,,,0.0,No Match
法制事務のデジタル化に向けた取組について,,,0.0,No Match
法人ベース・レジストリ整備に向けた制度的対応について,,,0.0,No Match
電子証明書ニーズと課題について,,,0.0,No Match
補助金の電子申請化率向上に向けた Jグランツの新機能追加及び取組について,,,0.0,No Match
自動運転の実現に向けた警察の取組について,,,0.0,No Match
アドレス・ベース・レジストリにおける「町字」より下位の情報の取扱いについて,,,0.0,No Match
有識者会議,,,0.0,No Match
地方公共団体情報システムの標準化及び非機能要件の標準の概要,,,0.0,No Match
データ要件の他業務情報グループの考え方について,,,0.0,No Match
行政手続のデジタル完結に向けた横断的調査・点検の状況について,,,0.0,No Match
マイナンバーカードの有効期限・更新に関する広報について,,,0.0,No Match
第5回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標の活用促進に関する検討会,デジタル田園都市国家構想実現に向けた地域幸福度,第1回デジタル田園都市国家構想実現に向けた地域幸福度(Well-Being)指標検討会,0.8,Similarity
公的手続等のデジタル化に関する対応状況等について,,,0.0,No Match
マイナンバー制度の利活用について,,,0.0,No Match
Well-Being指標活用の取り組みと担当部長制の導入について,,,0.0,No Match
DX推進体制の整備に対する支援措置の概要,,,0.0,No Match
トータルデザイン実現に向けた公共サービスメッシュ等の検討について,,,0.0,No Match
商業法人・不動産登記データに係る「外字」の取扱いについて,,,0.0,No Match
建設業許可標識等の掲示におけるデジタルサイネージの活用について,,,0.0,No Match
統合収納管理・統合滞納管理の方針について,,,0.0,No Match
法務局と自治体の文字コード統一について,,,0.0,No Match
行政手続のデジタル完結に向けた取組の状況について,,,0.0,No Match
先行自治体事例や取組等について,,,0.0,No Match
地方公共団体の基幹業務システムの統一・標準化に関する共通機能等技術要件検討会 宛名管理ワーキングチーム,）,,0.0,No Match
インフラ視点でのモビリティについて,,,0.0,No Match
こどもに関する情報・データ連携に関連する厚生労働省の取組みについて,,,0.0,No Match
AI政府調達・利活用ガイドライン(案)について,,,0.0,No Match
交通商社機能のあり方について,,,0.0,No Match
不動産登記ベース・レジストリへの期待事項について,,,0.0,No Match
デジタルマーケットプレイスの概要と取組状況について,,,0.0,No Match
